dc_id,sku_id,available_inv
DC001,SKU068,782
DC009,SKU001,4
DC013,SKU033,144
DC012,SKU026,89
DC011,SKU072,326
DC001,SKU036,440
DC009,SKU069,154
DC012,SKU029,7348
DC016,SKU064,32
DC008,SKU006,2392
DC012,SKU021,466
DC007,SKU008,1672
DC010,SKU048,187
DC008,SKU034,396
DC007,SKU032,446
DC006,SKU071,67
DC014,SKU002,0
DC009,SKU032,197
DC010,SKU050,234
DC012,SKU048,89
DC016,SKU057,102
DC005,SKU020,522
DC005,SKU030,80
DC001,SKU015,136
DC015,SKU042,24
DC004,SKU050,77
DC009,SKU057,56
DC008,SKU038,126
DC011,SKU034,535
DC016,SKU002,24
DC013,SKU069,594
DC002,SKU021,1787
DC014,SKU009,0
DC012,SKU063,217
DC004,SKU057,0
DC013,SKU014,129
DC006,SKU032,2261
DC010,SKU059,572
DC012,SKU015,169
DC004,SKU053,0
DC014,SKU060,0
DC016,SKU030,182
DC018,SKU015,142
DC014,SKU026,20
DC004,SKU044,859
DC011,SKU010,156
DC018,SKU064,46
DC017,SKU072,374
DC012,SKU042,47
DC008,SKU029,5469
DC009,SKU017,0
DC009,SKU011,5
DC001,SKU016,1927
DC005,SKU055,150
DC017,SKU017,63
DC010,SKU052,83
DC014,SKU056,386
DC011,SKU025,1315
DC002,SKU039,3239
DC011,SKU011,272
DC016,SKU024,152
DC007,SKU005,292
DC013,SKU030,165
DC003,SKU044,5060
DC013,SKU002,0
DC013,SKU009,173
DC007,SKU071,0
DC003,SKU054,1856
DC011,SKU071,0
DC012,SKU039,576
DC015,SKU038,424
DC006,SKU009,522
DC016,SKU019,3400
DC005,SKU011,199
DC018,SKU061,0
DC002,SKU016,1202
DC006,SKU041,879
DC003,SKU014,2733
DC017,SKU055,0
DC001,SKU052,68
DC007,SKU057,102
DC006,SKU012,0
DC005,SKU058,767
DC004,SKU017,169
DC004,SKU016,908
DC013,SKU056,144
DC016,SKU027,588
DC009,SKU023,8190
DC016,SKU001,118
DC008,SKU048,97
DC017,SKU014,279
DC006,SKU023,36737
DC004,SKU069,1500
DC015,SKU065,64
DC003,SKU022,7666
DC015,SKU024,284
DC007,SKU026,180
DC013,SKU005,483
DC009,SKU059,96
DC010,SKU068,889
DC014,SKU038,24
DC005,SKU052,90
DC008,SKU017,37
DC007,SKU066,643
DC005,SKU027,133
DC006,SKU050,449
DC006,SKU002,0
DC006,SKU072,406
